,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,34,17,12,9,7,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2
1,35,17,11,9,7,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2
2,35,17,12,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
3,35,17,12,9,7,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2
4,35,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
5,34,17,11,9,7,6,5,4,4,4,3,3,3,2,2,2,2,2,2,2
6,35,17,11,9,7,6,5,5,4,3,3,3,3,2,2,2,2,2,2,2
7,35,17,12,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
8,34,17,12,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
9,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
10,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
11,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
12,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
13,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
14,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
15,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
16,34,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
17,33,16,11,8,7,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2
18,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
19,33,17,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
20,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
21,33,16,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2
22,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
23,33,16,11,8,7,5,5,4,4,3,3,3,2,2,2,2,2,2,2,2
24,33,16,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
25,33,17,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
26,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
27,33,16,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2
28,32,16,11,8,6,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
29,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
30,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
31,33,16,11,8,7,5,5,4,4,3,3,3,3,2,2,2,2,2,2,2
32,33,17,11,8,7,6,5,4,4,3,3,3,2,2,2,2,2,2,2,2
33,33,16,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
34,33,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
35,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
36,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
37,34,17,11,9,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
38,34,17,11,8,7,6,5,4,4,3,3,3,3,2,2,2,2,2,2,2
39,35,17,12,9,7,6,5,4,4,3,3,3,3,3,2,2,2,2,2,2
